,name,street,streetNum,neighbourhood,district,zipcode,longLongitude,longLatitude,density
290,Plaça de la Revolució,Pl Revolució de Setembre 1868,4,la Vila de Gràcia,Gràcia,8012,41.40283072894955,2.158258723259312,2
291,Torre Montjuïc Calatrava,Pg Minici Natal,8,el Poble-sec,Sants-Montjuïc,8038,41.36478660504145,2.1516565451460616,1
292,Colònia Busquets,Ctra Església,2,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.41369557781431,2.104502955711604,1
293,Fàbrica Sanchís,Pg Enric Sanchis,21,el Bon Pastor,Sant Andreu,8030,41.434973842831134,2.205388440533967,1
294,Torre d'Aigües de Carrasco i Formiguera,Via Augusta,356,Sarrià,Sarrià-Sant Gervasi,8017,41.401274235562326,2.122852491250377,1
295,Torre del Doctor Andreu,Av Tibidabo,17,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.411850643734354,2.135695010644845,1
296,Conservatori Municipal de Música de Barcelona,C Bruc,110,la Dreta de l'Eixample,Eixample,8009,41.39590030798757,2.168037120807808,3
297,Centre Educatiu Thau,Av Esplugues,49,Pedralbes,Les Corts,8034,41.38764005512567,2.10528876791072,1
298,Cementiri Sant Genís,Saldes,3,Sant Genís dels Agudells,Horta-Guinardó,8035,41.427982136658734,2.1365982986152545,1
299,Fàbrica de Creació Ateneu Popular 9 Barris,C Portlligat,11,la Trinitat Nova,Nou Barris,8042,41.44877310192653,2.180410246679443,1
300,Parròquia de Sant Genís dels Agudells,C Saldes,3,Sant Genís dels Agudells,Horta-Guinardó,8035,41.427982136658734,2.1365982986152545,1
301,La Sardineta. Grup d'Ecoconsum de la Barceloneta,C Cermeño,7,la Barceloneta,Ciutat Vella,8003,41.38162858085352,2.1905140138060823,1
302,Museu Reial Monestir de Santa Maria de Pedralbes,Baixada del Monestir,9,Pedralbes,Les Corts,8034,41.39560516575995,2.1120750845469174,1
303,Reial Club de Tennis Barcelona - 1899,C Bosch i Gimpera,5,Pedralbes,Les Corts,8034,41.39369047981739,2.118331914254848,1
304,Parròquia de Santa Maria del Remei,Pl Concòrdia,1,les Corts,Les Corts,8014,41.386892522386965,2.132098891535344,1
305,Memorial en Record de les Víctimes de Trànsit,Passeig Marítim del Bogatell,82,el Poblenou,Sant Martí,8005,41.39460267821261,2.20675449785976,1
306,Platja de la Mar Bella,Passeig Marítim de la Mar Bella,104,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8005,41.39857924467329,2.2123276980931683,1
307,Consell Municipal del Districte de Sants-Montjuïc,Carrer de la Creu Coberta,104,Hostafrancs,Sants-Montjuïc,8014,41.3754087791269,2.142274392316013,2
308,"El Campus Nord, Ciutat Universitària",C Jordi Girona,4,Pedralbes,Les Corts,8034,41.38716753611742,2.112824395389949,1
309,Edifici MediaTIC,Carrer de Roc Boronat,117,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.40267993266015,2.1944666095628262,1
310,Palau Robert - Centre d'Informació de Catalunya,Pg Gràcia,107,la Dreta de l'Eixample,Eixample,8008,41.396132216710285,2.159531980047189,3
311,Residència Assistencial per a Gent Gran Refugi d'Obreres,Av República Argentina,16,Vallcarca i els Penitents,Gràcia,8023,41.40830297314985,2.1482112139978766,2
312,Parròquia de la Santíssima Trinitat,C Turó de la Trinitat,30,la Trinitat Vella,Sant Andreu,8033,41.45031653850258,2.190479987134713,1
313,La Gran Via de Carles III,G.V. Carles III,60,les Corts,Les Corts,8028,41.38359761148749,2.128056674070894,1
314,La plaça de la Concòrdia,Pl Concòrdia,-2147483648,les Corts,Les Corts,8014,41.38653963624162,2.132091361234996,1
315,La Porta Sud de la Finca Güell,C Lluís Solé i Sabarís,1,la Maternitat i Sant Ramon,Les Corts,8028,41.384912355918026,2.1189006112022293,1
316,La Plaça dels Indians,C Garcilaso,140,el Congrés i els Indians,Sant Andreu,8027,41.42345483645125,2.182535991490844,1
317,Museu d'Arqueologia de Catalunya,Passeig de Santa Madrona,39,el Poble-sec,Sants-Montjuïc,8038,41.370185413245146,2.1576640200328425,1
318,Antiga Foneria de Canons,C Rambla,2,el Barri Gòtic,Ciutat Vella,8002,41.37692960265057,2.177040671271692,2
319,Carrer de la Riereta,C Riereta,1,el Raval,Ciutat Vella,8001,41.37926084805356,2.1669844143365613,2
320,Casa -Fàbrica Vermell-Martí,C Jonqueres,10,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.3882604557891,2.174179225423808,3
321,El Vapor  - Fàbrica Bonaplata,C Tallers,75,el Raval,Ciutat Vella,8001,41.38494614000927,2.1667630471377124,4
322,Església Antic Institut Mental,C Marie Curie,8,la Guineueta,Nou Barris,8042,41.43699356015132,2.1691554098488184,1
323,OikoCrèdit Catalunya,C Casp,43,la Dreta de l'Eixample,Eixample,8010,41.39204185286289,2.174070233465704,4
324,Cooperativa La Guardiola Familiar,C Borriana,54,Sant Andreu,Sant Andreu,8030,41.43056706573951,2.191828973297836,1
325,Pavelló de Ràdio Barcelona al Parc d'Atraccions del Tibidabo,Carretera de Vallvidrera al Tibidabo,101,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8035,41.42410490506085,2.1193142250845742,1
326,Torre d'Ignacio Portabella,Av Tibidabo,27,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.41281169827556,2.134981213630846,1
327,El Jardí Vertical,C Berlín,107,les Corts,Les Corts,8029,41.38512796595028,2.141744623609296,1
328,Casa Hurtado,Av Pedralbes,46,Pedralbes,Les Corts,8034,41.39242149167882,2.11632547019372,1
329,Casa Comalat,Av Diagonal,442,la Dreta de l'Eixample,Eixample,8037,41.39708330346533,2.1607220347024616,3
330,Avinguda de la Catedral,Avinguda de la Catedral,1,el Barri Gòtic,Ciutat Vella,8002,41.38454711222467,2.175276073454244,3
331,Avinguda Maria Cristina,Avinguda de la Reina Maria Cristina,1,el Poble-sec,Sants-Montjuïc,8004,41.37303257656836,2.1510148596954752,1
332,Carrer Martí  i Franqués,Carrer de Martí i Franquès,1,la Maternitat i Sant Ramon,Les Corts,8028,41.38506372270052,2.1179021240670406,1
333,Fundació Joan Brossa,Carrer de Flassaders,40,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.385220679624325,2.1823673277242177,2
334,Cereria Subirà,Bda Llibreteria,7,el Barri Gòtic,Ciutat Vella,8002,41.38381148695298,2.1780445376953748,3
335,L'Hort del Cànem,Carrer de la Llacuna,31,el Poblenou,Sant Martí,8005,41.399139584728125,2.200783316686378,2
336,La plaça del Poble Romaní,Plaça del Poble Gitano,-2147483648,la Vila de Gràcia,Gràcia,8012,41.40183443187985,2.160694112661664,2
337,Villa Esperanza,Ptge Isabel,8,Vallcarca i els Penitents,Gràcia,8023,41.41363246951804,2.1463762410352865,1
338,Colònia Bausili,C Colònia Bausili,3,la Marina del Prat Vermell,Sants-Montjuïc,8038,41.35303880848997,2.1435520408982858,1
339,Carrer Avió Plus Ultra,C Avió Plus Ultra,1,Sarrià,Sarrià-Sant Gervasi,8017,41.40033306045677,2.122019654847453,1
340,Centre Cívic Torre Llobeta,Carrer de Santa Fe,2,Vilapicina i la Torre Llobeta,Nou Barris,8031,41.42693150965028,2.173966250593847,1
341,Restaurant El Asador de Aranda *Av Tibidabo,Av Tibidabo,31,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.41349245462937,2.1344802209567293,1
342,Bar Colòmbia,Rbla Fabra i Puig,1,Sant Andreu,Sant Andreu,8030,41.43001110132735,2.1895226462085007,1
343,El camp de la Creu,Pl Carme,1,les Corts,Les Corts,8029,41.38876352398029,2.140180281885298,1
344,Ca l'Estruc- Convent de les Germanes de l'Assumpció,C Pons i Gallarza,30,Sant Andreu,Sant Andreu,8030,41.43553951634989,2.1880199202730286,1
345,Botiga Casa Rusca,C Gran de Sant Andreu,135,Sant Andreu,Sant Andreu,8030,41.431621867432426,2.1892871049773523,1
346,La Mina Grott,Camí del Cama-sec,22,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.41529444742222,2.097545489732037,1
347,Casa Manuel Colchero,C Camèlies,34,el Camp d'en Grassot i Gràcia Nova,Gràcia,8024,41.41156230116295,2.160231915914634,1
348,Casa Miquel Cal Millàs,C Vallfogona,18,la Vila de Gràcia,Gràcia,8012,41.4031305099263,2.157560504523872,2
349,Casa Pere Jaqués,C Olot,2,la Salut,Gràcia,8024,41.41285094265032,2.1523783933834846,1
350,Casa Ramos,Pl Lesseps,30,el Putxet i el Farró,Sarrià-Sant Gervasi,8023,41.4061899908628,2.149575785577088,1
351,Cases Antoni Par,C Gran de Gràcia,262,la Vila de Gràcia,Gràcia,8012,41.40569413888112,2.1506275018499315,2
352,Cases de menestrals,C Tordera,14,la Vila de Gràcia,Gràcia,8012,41.40077634268316,2.160468302707204,2
353,Cases Folguera,Trav Gràcia,184,la Vila de Gràcia,Gràcia,8012,41.40193073549308,2.158860787647023,2
354,Edifici Modernista Avinguda República Argentina 28,Av República Argentina,28,Vallcarca i els Penitents,Gràcia,8023,41.408491676806655,2.147416989049893,2
355,Parc de la Primavera,C Nou de la Rambla,203,el Poble-sec,Sants-Montjuïc,8004,41.37046396116055,2.1658337161656225,1
356,La Plaça de Sant Jaume,Pl Sant Jaume,1,el Barri Gòtic,Ciutat Vella,8002,41.38254213182859,2.1771735683501343,3
357,El carrer de Bonavista,C Bonavista,1,la Vila de Gràcia,Gràcia,8012,41.39773291366716,2.1587099305698554,3
358,El Vapor Nou,Plaça del Poble Gitano,-2147483648,la Vila de Gràcia,Gràcia,8012,41.40183443187985,2.160694112661664,2
359,Kasa de la Muntanya (KM),Av Santuari St Josep Muntanya,19,la Salut,Gràcia,8024,41.41043997027809,2.154195493067497,1
360,Àntiga Fàbrica de Làmpares Z,Pg Zona Franca,185,la Marina de Port,Sants-Montjuïc,8038,41.36098326639913,2.1378661758058857,1
361,La Lleialtat Santsenca,Carrer d'Olzinelles,31,Sants,Sants-Montjuïc,8014,41.37291765088582,2.13669817907462,1
362,Casa Josep Barnoles - La del Mico i el Gos,C Camèlies,40,el Camp d'en Grassot i Gràcia Nova,Gràcia,8024,41.4116517136051,2.160396764857864,1
363,La rambla del Prat,Rbla Prat,1,la Vila de Gràcia,Gràcia,8012,41.4018619863958,2.152769925875062,1
364,Masoveria de la Virreina,C Sant Lluís,1,la Vila de Gràcia,Gràcia,8012,41.40418669162275,2.1582068161840007,1
365,Centre Penitenciari Obert 2  - Presó de Dones de la Trinitat,C Pare Manjón,2,la Trinitat Vella,Sant Andreu,8033,41.45352852329394,2.191463299081721,1
366,MUHBA Museu d'Història de Barcelona - Casa de l'Aigua,Carretera de Ribes,103,la Trinitat Vella,Sant Andreu,8033,41.45463864239669,2.189729096932418,1
367,Farmàcia Guinart Gómez de Arteche,Carrer Gran de Sant Andreu,306,Sant Andreu,Sant Andreu,8030,41.43709201717535,2.18973464583348,1
368,Plaça de la Mercè,Plaça de la Mercè,1,el Barri Gòtic,Ciutat Vella,8002,41.37939878522798,2.1795617635934748,3
369,Jardins de Portolà,C Portolà,5,el Putxet i el Farró,Sarrià-Sant Gervasi,8023,41.410819046980855,2.14255769920195,1
370,Mural de la Memòria de Baró de Viver,Pg Santa Coloma,98,Baró de Viver,Sant Andreu,8030,41.44781298649119,2.1984226201584325,1
371,Escola Business Engineering School - la Salle,C Lluçanès,41,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.40890993792351,2.131137058699619,1
372,Sarrià,C Major de Sarrià,63,Sarrià,Sarrià-Sant Gervasi,8017,41.398258662470965,2.122321214645502,1
373,Centre Cívic Vil·la Florida,Carrer de Muntaner,544,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.40536533899808,2.135308972460361,1
374,El passatge de l'Esperança,Ptge Esperança,5,Vilapicina i la Torre Llobeta,Nou Barris,8016,41.42909687213159,2.176942405239261,1
375,Casa de la Lactància,G.V. Corts Catalanes,475,la Nova Esquerra de l'Eixample,Eixample,8015,41.38013155447215,2.155454935741646,2
376,Esplai Tr3smon,C Mare de Déu de Port,279,la Marina de Port,Sants-Montjuïc,8038,41.3598021106686,2.1417439533847342,1
377,Moll de la Fusta *Escenari Besòs,Moll de Bosch i Alsina,1,el Barri Gòtic,Ciutat Vella,8039,41.37903656788792,2.1818329605717524,1
378,Moll de la Fusta *Escenari Llobregat,Moll de Bosch i Alsina,1,el Barri Gòtic,Ciutat Vella,8039,41.37903656788792,2.1818329605717524,1
379,Eix Comercial del Raval,C Nou de la Rambla,14,el Raval,Ciutat Vella,8001,41.37883670716191,2.173892474795089,4
380,Jardins,G.V. Corts Catalanes,585,l'Antiga Esquerra de l'Eixample,Eixample,8007,41.386577028963096,2.16403049732852,3
381,Jardins dels Drets Humans,C Foneria,19,la Marina de Port,Sants-Montjuïc,8038,41.36102656268191,2.1367088188150576,1
382,Biblioteca Jaume Fuster,Plaça de Lesseps,20,Vallcarca i els Penitents,Gràcia,8023,41.40749096939712,2.149775202551298,1
383,Centre Cívic Can Basté,Passeig de Fabra i Puig,274,el Turó de la Peira,Nou Barris,8031,41.4304874584176,2.173233437180801,1
384,Farmàcia Franquesa Grau,Carrer Gran de Sant Andreu,260,Sant Andreu,Sant Andreu,8030,41.43515149016144,2.189772892493236,1
385,Palau de Mar,Pl Pau Vila,1,la Barceloneta,Ciutat Vella,8039,41.38083864121991,2.1858736814996145,1
386,Centre Cívic Casa Orlandai,Carrer de Jaume Piquet,23,Sarrià,Sarrià-Sant Gervasi,8017,41.39835999770311,2.1246720318706647,1
387,Mercat Encants Barcelona - Fira de Bellcaire,Carrer de los Castillejos,158,el Fort Pienc,Eixample,8013,41.401063548775554,2.1856692459565465,1
388,Cementiri Les Corts,Avinguda de Joan XXIII,3,la Maternitat i Sant Ramon,Les Corts,8028,41.38316853133116,2.1216835608063085,1
389,Cementiri Sarrià,Camí del Cementiri de Sarrià,10,les Tres Torres,Sarrià-Sant Gervasi,8017,41.401007141442,2.1276081162893665,1
390,Cementiri Poblenou,Avinguda d'Icària,204,el Poblenou,Sant Martí,8005,41.39459329629175,2.201156811755032,1
391,Parc de l'Espanya Industrial,Carrer de Muntadas,1,Sants,Sants-Montjuïc,8014,41.37653564822331,2.139874006322372,1
392,Museu Palmero Arte,Judea,2,Sant Genís dels Agudells,Horta-Guinardó,8035,41.4252047837623,2.140179989039568,1
393,Centre Municipal de Vela,Moll Gregal,33,la Vila Olímpica del Poblenou,Sant Martí,8005,41.38842104043444,2.2016968649217765,1
394,Casa Faiol - Casa de la Papallona,Llança,20,la Nova Esquerra de l'Eixample,Eixample,8015,41.37663697598416,2.1502989534573564,2
395,Associació de Comerciants del Carrer Gran de Gràcia,C Gran de Gràcia,134,la Vila de Gràcia,Gràcia,8012,41.40161537381029,2.1535740772253145,1
396,Casa Lleó Morera,Pg Gràcia,35,la Dreta de l'Eixample,Eixample,8007,41.391311136498935,2.165491865898989,4
397,Estadi Olímpic de Montjuïc Lluís Companys,Passeig Olímpic,17,el Poble-sec,Sants-Montjuïc,8038,41.36474508399185,2.1556813948675835,1
398,Federació de Comerciants Barna Centre,Av Portal de l'Àngel,7,el Barri Gòtic,Ciutat Vella,8002,41.384987301167484,2.1737625883363,3
399,Platja de la Barceloneta,Passeig Marítim de la Barceloneta - Oriol Bohigas,14,la Barceloneta,Ciutat Vella,8003,41.37861435600187,2.192222242417201,1
400,Restaurant Can Cortada,Av Estatut de Catalunya,88,Horta,Horta-Guinardó,8035,41.43763336944127,2.1528053939918426,1
401,Jardins Creu de Pedralbes,Av Pearson,2,Pedralbes,Les Corts,8034,41.39433185278547,2.1115767347502405,1
402,Estació d'Autobusos Barcelona Nord,C Alí Bei,80,el Fort Pienc,Eixample,8013,41.394325719298415,2.182338154669274,1
403,Portal Casa Miralles,Pg Manuel Girona,55,Sarrià,Sarrià-Sant Gervasi,8034,41.39211337098168,2.1274984374334376,1
404,Jardins del Teatre Grec,Pg Santa Madrona,38,el Poble-sec,Sants-Montjuïc,8038,41.37014353208927,2.1586211285196573,1
405,Castell dels Tres Dragons,Pg Picasso,5,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38811182882805,2.183385158220496,1
406,CosmoCaixa Barcelona,Carrer d'Isaac Newton,26,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.41329827278904,2.1306762762550275,1
407,Escultura Mistos,Jorge Manrique,9,la Vall d'Hebron,Horta-Guinardó,8035,41.43084545648815,2.151482440531504,1
408,Els Edificis Trade,G.V. Carles III,84,les Corts,Les Corts,8028,41.38617521617633,2.1279530224471386,1
409,Carrer Aiguafreda,C Aiguafreda,1,Horta,Horta-Guinardó,8032,41.42673221154588,2.1594552433114487,1
410,Parc Central de Nou Barris,Pl Major de Nou Barris,1,la Guineueta,Nou Barris,8042,41.4368445525108,2.1712296246319656,1
411,Edifici Patronat Ribas,Pg Vall d'Hebron,93,Sant Genís dels Agudells,Horta-Guinardó,8035,41.422929218509935,2.1410866943487545,1
412,Col·legi de Censors Jurats de Comptes de Catalunya,C Sor Eulàlia d'Anzizu,41,Pedralbes,Les Corts,8034,41.39041020339857,2.11279079824562,1
413,Torre Jussana - Centre de Serveis a les Associacions,Av Cardenal Vidal Barraquer,30,la Clota,Horta-Guinardó,8035,41.42969190027591,2.15131477992075,1
414,Servei d'Esports de la Universitat de Barcelona,Av Diagonal,695,la Maternitat i Sant Ramon,Les Corts,8028,41.38091965331625,2.1048310677132447,1
415,Hotel Melia Barcelona Sky - HB-004358,C Pere IV,272,el Poblenou,Sant Martí,8005,41.40628819017893,2.200634797754356,2
416,Teatre Nacional de Catalunya,Plaça de les Arts,1,el Fort Pienc,Eixample,8013,41.39971763958852,2.1861052566703805,1
417,Casa de les Altures,Rda Guinardó,49,el Baix Guinardó,Horta-Guinardó,8024,41.41279780128245,2.166481155557753,1
418,Torre de les Aigües del Besòs,Plaça de Ramon Calsina,1,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.405450920442256,2.212560936198963,1
419,Parc de Diagonal Mar,Carrer de Llull,356,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.40849031137141,2.212231951523546,1
420,Centre Cívic Can Deu,Plaça de la Concòrdia,13,les Corts,Les Corts,8014,41.38679400774151,2.1325216465394625,1
421,Centre d'Arts Santa Mònica,Carrer la Rambla,7,el Raval,Ciutat Vella,8002,41.37725882473504,2.175614994736913,2
422,Fundació Privada Centre de Producció Artística i Cultural Palo Alto,C Pellaires,30,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.40453754416711,2.210261414480815,1
423,"El camí de Finestrelles, i el mirador",Camí Finestrelles,2,Pedralbes,Les Corts,8034,41.38716645323706,2.1013080275694787,1
424,El passeig de Sant Gervasi,Pg Sant Gervasi,1,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.40714994709702,2.1338555488054234,1
425,El Submarí de la Ronda,C Isaac Newton,28,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.41314852899548,2.1305194357974724,1
426,Cooperativa La Confiança Andreuenca,C Pons i Gallarza,103,Sant Andreu,Sant Andreu,8030,41.43555564633071,2.185313624433327,1
427,Quarter Bruc,Av Exèrcit,1,Pedralbes,Les Corts,8034,41.38730794999315,2.110666688042147,1
428,Oratori de Sant Felip Neri *Gràcia,C Sol,8,la Vila de Gràcia,Gràcia,8012,41.40200153642768,2.1556884231723648,2
429,Cooperativa Obrera Popular Segle XX,C Atlàntida,1,la Barceloneta,Ciutat Vella,8003,41.38164663472414,2.189153267840029,1
430,La Maquinista Terrestre i Marítima,Pl Pompeu Gener,1,la Barceloneta,Ciutat Vella,8003,41.38164285238863,2.1907168710652614,1
431,Unió de Cooperatives per a la Fabricació de Pastes per a Sopa,C Aurora,11,el Raval,Ciutat Vella,8001,41.37867570317367,2.1681069096683667,2
