,name,street,streetNum,neighbourhood,district,zipcode,longLongitude,longLatitude,density
432,Casa Sarriera,C Palma de Sant Just,8,el Barri Gòtic,Ciutat Vella,8002,41.382407945809554,2.178630636272102,3
433,Jardins Mestre Balcells,C Sant Salvador,49,la Vila de Gràcia,Gràcia,8024,41.40737937950329,2.1540303051961045,1
434,Roca Barcelona Gallery,C Joan Güell,211,les Corts,Les Corts,8028,41.38664570242304,2.12923065792945,1
435,Cooperativa La Flor de Maig - sucursal núm. 7,C Martí Molins,10,la Sagrera,Sant Andreu,8027,41.42411451151167,2.1903109078509257,1
436,Museu d'Autòmats del Tibidabo,Pl Tibidabo,3,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8035,41.42160921227461,2.1187341412289142,1
437,La plaça de la Bonanova,Pl Bonanova,-2147483648,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.40638150826275,2.13417851476007,1
438,La plaça del Doctor Andreu,Pl Doctor Andreu,-2147483648,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8035,41.416304021052255,2.1314166234616936,1
439,Places de Joaquim Folguera i Frederic Soler,Pl Joaquim Folguera,-2147483648,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.405429245723575,2.1389166559414923,1
440,El Conjunt Residencial de Les Escales Park,C Sor Eulàlia d'Anzizu,38,Pedralbes,Les Corts,8034,41.39204783587929,2.1153886541782843,1
441,El passatge de Tubella,Ptge Tubella,1,les Corts,Les Corts,8014,41.38372383321053,2.135927755117388,1
442,Colònia Carné,Av Sant Ramon Nonat,22,la Maternitat i Sant Ramon,Les Corts,8028,41.376822310380064,2.117058367742885,1
443,'La Masia' del Barça,Av Joan XXIII,2,la Maternitat i Sant Ramon,Les Corts,8028,41.38164275556459,2.1215489678471395,1
444,"""Vivendes"" del Congrés Eucarístic",Pl Congrés Eucarístic,7,el Congrés i els Indians,Sant Andreu,8027,41.42583306266904,2.181536675794661,1
445,Antiga Biblioteca Infantil del GATCPAC,Pl Palmeres,2,Sant Andreu,Sant Andreu,8030,41.43240704975568,2.186285451200647,1
446,Cases Barates del Bon Pastor,C Bellmunt,28,el Bon Pastor,Sant Andreu,8030,41.437833660964266,2.206192154035402,1
447,Rambla de Fabra i Puig,C Concepción Arenal,211,Sant Andreu,Sant Andreu,8030,41.43035899926197,2.184527163310618,1
448,Parròquia de Sant Ramon Nonat,Av Sant Ramon Nonat,1,la Maternitat i Sant Ramon,Les Corts,8028,41.37603719947376,2.11709281902244,1
449,Parc de Cervantes,Av Diagonal,706,Pedralbes,Les Corts,8034,41.38456852873158,2.1094394046493576,1
450,Casa Calvet,C Casp,48,la Dreta de l'Eixample,Eixample,8010,41.39096800710249,2.1730144223801227,4
451,La plaça de Pedralbes,Pl Pedralbes,-2147483648,Pedralbes,Les Corts,8034,41.395729151007615,2.114218062249275,1
452,Eix Comercial del Poblenou,C Pallars,224,el Poblenou,Sant Martí,8005,41.40261966913898,2.199899590115794,1
453,La Torre Blanca,Pg Til·lers,1,Pedralbes,Les Corts,8034,41.38946749792317,2.11876260601679,1
454,Pilar d'Aigua de Sant Andreu,C Llenguadoc,95,Sant Andreu,Sant Andreu,8030,41.430359925789794,2.1852706828435733,1
455,La Plaça de les Havaneres,C Jordi de Sant Jordi,5,el Congrés i els Indians,Sant Andreu,8027,41.42125404672892,2.1826779224213384,1
456,Parròquia de Santa Teresa de l'Infant Jesús,Via Augusta,68,la Vila de Gràcia,Gràcia,8006,41.40051175642841,2.151808582444108,2
457,Associació Xarxa de Consum Solidari,Pl Sant Agustí Vell,15,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38787517688739,2.1807053172955464,2
458,Universitat Nacional d'Educació a Distància *Barcelona,Av Rio de Janeiro,56,Porta,Nou Barris,8016,41.4364657200984,2.180455235272232,1
459,Casa Bonaventura Ferrer,Pg Gràcia,113,la Vila de Gràcia,Gràcia,8008,41.39697639977114,2.158479593916247,3
460,Escola Superior d'Administració i Direcció d'Empreses - URL,Av Pedralbes,60,Pedralbes,Les Corts,8034,41.39374137478776,2.11450041725389,1
461,Federació de Comerç Cor d'Horta,Carrer de Dante Alighieri,13,Horta,Horta-Guinardó,8032,41.42896711720995,2.1618184204004605,1
462,Cases Blanques,C Vayreda,24,Montbau,Horta-Guinardó,8035,41.43148809165625,2.140820837872433,1
463,Refugi Antiaeri de Can Peguera,C Cornudella,45,el Turó de la Peira,Nou Barris,8031,41.43411211194424,2.165334527114244,1
464,Finca Sansalvador,Pg Mare de Déu del Coll,79,el Coll,Gràcia,8023,41.418944974567545,2.1483588431746647,1
465,Habitatge Classicista Providència 79,C Providència,79,la Vila de Gràcia,Gràcia,8024,41.40819331103934,2.159386623420811,2
466,Torre del Rellotge,Pl Bonet i Muixí,3,Sants,Sants-Montjuïc,8014,41.374324400951934,2.1367036614916595,1
467,Eina - Escola de Disseny i Art,Pg Santa Eulàlia,25,Sarrià,Sarrià-Sant Gervasi,8017,41.40287986302204,2.1143338057522336,1
468,Parròquia de Sant Gregori Taumaturg,Pl Sant Gregori Taumaturg,-2147483648,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8021,41.39422199323784,2.138413658076152,1
469,Monestir de Sant Pau del Camp,C Sant Pau,99,el Raval,Ciutat Vella,8001,41.37650076335756,2.16931450249219,2
470,Sala Lliure de Gràcia,C Montseny,47,la Vila de Gràcia,Gràcia,8012,41.40276104987048,2.156031064034744,1
471,Centre Educatiu Jesús i Maria *Passeig Sant Gervasi,Pg Sant Gervasi,15,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.409626762607445,2.1321227367298,1
472,Parròquia de Maria Reina,Av Esplugues,103,Pedralbes,Les Corts,8034,41.39269599560135,2.111486130409106,1
473,Centre Cívic Cotxeres de Sants,Carrer de Sants,79,Sants,Sants-Montjuïc,8014,41.37529848802473,2.136897693555585,1
474,Hort Urbà Masia Can Mestres,Camí Can Clos,1,la Marina de Port,Sants-Montjuïc,8038,41.35971541159925,2.145157408726708,1
475,Masia Can Rosés,C Deu i Mata,49,les Corts,Les Corts,8029,41.38827496816368,2.1348326553076955,1
476,Consell Municipal del Districte de Sant Andreu,Plaça d'Orfila,1,Sant Andreu,Sant Andreu,8030,41.43602805111317,2.190607338298738,1
477,El passeig de Sant Joan,Pg Sant Joan,118,la Dreta de l'Eixample,Eixample,8037,41.40053820160704,2.168556539279617,1
478,La plaça de la Vila de Gràcia,Pl Vila de Gràcia,3,la Vila de Gràcia,Gràcia,8012,41.40038030274788,2.1575252768954654,2
479,El Congrés i els Indians,C Pinar del Río,56,el Congrés i els Indians,Sant Andreu,8027,41.42267428633185,2.1801325133211784,1
480,El Quadrat d'Or,C Consell de Cent,353,la Dreta de l'Eixample,Eixample,8007,41.39176911227801,2.166394367405672,3
481,El 22@,C Roc Boronat,113,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.40196782553371,2.1954426698372225,1
482,L'Estació de La Sagrera,C Hondures,76,la Sagrera,Sant Andreu,8027,41.42192407346947,2.187378057190909,1
483,La Muralla Romana,Pl Ramon Berenguer el Gran,3,el Barri Gòtic,Ciutat Vella,8002,41.384336103363474,2.1775827025795835,3
484,Gran Teatre del Liceu,C la Rambla,51,el Raval,Ciutat Vella,8002,41.38014677441643,2.1733467293401083,5
485,Carrer de les Monges,C Monges,10,Sant Andreu,Sant Andreu,8030,41.430689656123576,2.187943106250125,1
486,Carrer Gran de Sant Andreu,C Malats,26,Sant Andreu,Sant Andreu,8030,41.43612543255933,2.1898796475568005,1
487,Foment Republicà de Sants. Antic Ateneu Batllori,C Cros,7,Sants,Sants-Montjuïc,8014,41.37489008455715,2.1380612359989244,1
488,Molí de Sant Andreu - Rec Comtal,C Andana de l'Estació,22,Sant Andreu,Sant Andreu,8030,41.4430658938174,2.194021800571192,1
489,Monument a Cristòfol Colom,Plaça del Portal de la Pau,1,el Raval,Ciutat Vella,8001,41.375981756802304,2.1760573876381613,1
490,Escultura Josep Anselm Clavé,Pg Sant Joan,198,el Camp d'en Grassot i Gràcia Nova,Gràcia,8037,41.404090634245215,2.1638663854194364,1
491,IL3 Institut de Formació Contínua - Universitat de Barcelona,C Ciutat de Granada,131,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.40277794946353,2.192149004479941,1
492,Jardins del  Baix Guinardó,C Marina,372,el Baix Guinardó,Horta-Guinardó,8025,41.40977850723608,2.1686584215423337,1
493,Base Nàutica Municipal de la Mar Bella,Pg Marítim del Bogatell,102,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8005,41.396535352091554,2.2097712400521687,1
494,Cementiri Sant Gervasi,Camí del Cementiri de Sant Gervasi,4,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8035,41.4111553532629,2.1266252111412056,1
495,Cementiri d'Horta,Plaça del Cementiri d'Horta,9,Horta,Horta-Guinardó,8035,41.4404241840174,2.156066057589674,1
496,Centre Comercial El Centre de la Vila,C Salvador Espriu,61,la Vila Olímpica del Poblenou,Sant Martí,8005,41.39092742219698,2.1978686794906324,1
497,Federació Eix Comercial Sants-Les Corts,C Melcior de Palau,77,Sants,Sants-Montjuïc,8014,41.37978352954445,2.134518536891389,1
498,Jardins d'Elvira Farreras Valentí,C Manacor,17,el Putxet i el Farró,Sarrià-Sant Gervasi,8023,41.407464947326254,2.1430348062786257,1
499,Parc de la Pegaso,C Sagrera,179,la Sagrera,Sant Andreu,8027,41.42688804853376,2.190739286407059,1
500,Parròquia de Sant Pacià,C Monges,27,Sant Andreu,Sant Andreu,8030,41.43166813631246,2.1875874021734294,1
501,Edifici Torre Telefònica - Diagonal Zero Zero,Pl Ernest Lluch i Martín,5,el Besòs i el Maresme,Sant Martí,8019,41.412170224245294,2.2212484484505435,1
502,Museu,Carrer d'Aragó,255,la Dreta de l'Eixample,Eixample,8007,41.39155351265377,2.1637754588196367,3
503,Parròquia de Santa Maria del Mar - Basílica,Pl Santa Maria,1,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38378222100999,2.182224949880879,3
504,Ateneu de Fabricació Digital de Les Corts,Carrer d'Evarist Arnús,59,les Corts,Les Corts,8014,41.38355424224072,2.1355597687429912,1
505,Platja del Bogatell,Pg Marítim del Bogatell,80,el Poblenou,Sant Martí,8005,41.39460267821261,2.20675449785976,1
506,Parc de les Rieres d'Horta,Av Estatut de Catalunya,21,la Clota,Horta-Guinardó,8035,41.43107919974659,2.154259435001784,1
507,Palau Reial de Pedralbes,Av Diagonal,686,Pedralbes,Les Corts,8034,41.38654937434819,2.1184352989192647,1
508,Escola la Farigola de Vallcarca,C Sant Camil,31,Vallcarca i els Penitents,Gràcia,8023,41.4138319736047,2.146680968580762,1
509,Església del Reial Santuari de Sant Josep de la Muntanya,Av Santuari St Josep Muntanya,25,la Salut,Gràcia,8024,41.41043997027809,2.154195493067497,1
510,Masia Can Fargas,Pg Maragall,383,la Font d'en Fargues,Horta-Guinardó,8032,41.42760361480803,2.164467317118893,1
511,Ateneu Popular de Sants,Premià,15,Sants,Sants-Montjuïc,8014,41.37650856330917,2.1388908758746004,2
512,Font Hércules,Pg Sant Joan,152,el Camp d'en Grassot i Gràcia Nova,Gràcia,8037,41.40222084859364,2.166334830386844,1
513,Castell de Torre Baró,Carretera Alta de les Roquetes,309,Torre Baró,Nou Barris,8033,41.45079189503227,2.1761305165721443,1
514,Fàbrica de Creació Graner,C Jane Addams,14,la Marina de Port,Sants-Montjuïc,8038,41.36152379729631,2.135975019779134,1
515,Casa Lamadrid,Girona,113,la Dreta de l'Eixample,Eixample,8009,41.39694691705839,2.168180705255576,3
516,Casa Garriga Nogués,Diputació,250,la Dreta de l'Eixample,Eixample,8007,41.38892310014807,2.165254832995529,3
517,"Espai Gaudí: Pis, Golfes i Terrat",Provença,261,la Dreta de l'Eixample,Eixample,8008,41.39534759002927,2.162061079088016,3
518,Associació Sarrià Eix Comercial,C Canet,20,Sarrià,Sarrià-Sant Gervasi,8017,41.39840201073239,2.122763546217199,1
519,Sala El Molino,Carrer de Vila i Vilà,99,el Poble-sec,Sants-Montjuïc,8004,41.37458590109832,2.167271088906495,4
520,Torre de Collserola,Ctra Vallvidrera Tibidabo,8,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.4158634160436,2.111785952453742,1
521,Edifici Gas Natural,Pl Gas,1,la Barceloneta,Ciutat Vella,8003,41.38319342524216,2.190154390019234,1
522,Refugi Antiaeri de la Sagrera,C Berenguer de Palou,64,la Sagrera,Sant Andreu,8027,41.42373640875645,2.191951961584244,1
523,Carrer Campo Florido,C Campo Florido,9,el Congrés i els Indians,Sant Andreu,8027,41.42138115685976,2.182484957753459,1
524,Parc de la Ciutadella,Passeig de Picasso,21,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38633657544665,2.185381778970792,1
525,Carrer Coroleu,C Coroleu,42,Sant Andreu,Sant Andreu,8030,41.43298298344629,2.187190543503709,1
526,Carrer Grau,C Grau,47,Sant Andreu,Sant Andreu,8030,41.438791640535136,2.187669352497476,1
527,Carrer Manigua,C Garcilaso,200,el Congrés i els Indians,Sant Andreu,8027,41.423676546575145,2.1797396875918653,1
528,Carrer Matanzas,C Matanzas,40,el Congrés i els Indians,Sant Andreu,8027,41.422752030928834,2.1821867084168733,1
529,Menjadors populars del carrer Gran Sant Andreu (Guerra Civil),C Gran de Sant Andreu,176,Sant Andreu,Sant Andreu,8030,41.43272227205576,2.189397397119702,1
530,Jardins de Ramon Margalef i López,Av Estadi,42,el Poble-sec,Sants-Montjuïc,8038,41.366093518468645,2.152965473661524,1
531,Parc del Castell de l'Oreneta,C Montevideo,45,Sarrià,Sarrià-Sant Gervasi,8034,41.39940218424315,2.112199777559347,1
532,Universitat de Barcelona,G.V. Corts Catalanes,585,l'Antiga Esquerra de l'Eixample,Eixample,8007,41.38657708352391,2.164030568391206,3
533,Col·legi Oficial de Metges de Barcelona,Pg Bonanova,47,les Tres Torres,Sarrià-Sant Gervasi,8017,41.40423624177701,2.129341454867993,1
534,Edifici Puiggròs,C Martínez de la Rosa,27,la Vila de Gràcia,Gràcia,8012,41.39966543105189,2.159260387163396,2
535,"Xemeneia de l'antiga Fábrica ""La Porcelana""",Pl Joan Corrades,1,Hostafrancs,Sants-Montjuïc,8014,41.3730269153328,2.144526050663452,2
536,Hospital del Mar,Passeig Marítim de la Barceloneta - Oriol Bohigas,25,la Barceloneta,Ciutat Vella,8003,41.38343360981441,2.1946836219941206,1
537,Centre Esportiu Municipal Piscines Bernat Picornell,Av Estadi,30,el Poble-sec,Sants-Montjuïc,8038,41.36632923206704,2.1507934502236257,1
538,Club Natació Atlètic - Barceloneta,Pl Mar,1,la Barceloneta,Ciutat Vella,8003,41.37344433423628,2.188684749719376,1
539,Centre Cívic Casinet d'Hostafrancs,Carrer del Rector Triadó,53,Hostafrancs,Sants-Montjuïc,8014,41.37785807405672,2.1432215181756806,2
540,Parc del Centre del Poblenou,Av Diagonal,130,Provençals del Poblenou,Sant Martí,8018,41.40679356695045,2.199757373643509,1
541,Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica,Pl Mercè,1,el Barri Gòtic,Ciutat Vella,8002,41.379425179886205,2.1795802549065177,3
542,Restaurant Dos Torres,Via Augusta,300,les Tres Torres,Sarrià-Sant Gervasi,8017,41.39795538977432,2.128704952652439,1
543,Espai Jove La Fontana,C Gran de Gràcia,190,la Vila de Gràcia,Gràcia,8012,41.403342374883685,2.1528048898678125,1
544,Casal de Barri Font d'en Fargues,C Pedrell,67,la Font d'en Fargues,Horta-Guinardó,8032,41.424333431530485,2.16524810902057,1
545,Torre Castanyer,Pg Sant Gervasi,5,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.4078488716108,2.134224907245418,1
546,El passatge de Xile,Ptge Xile,1,la Maternitat i Sant Ramon,Les Corts,8028,41.37689172436965,2.116314819784081,1
547,Els Jardins d'Eusebi Güell,Pl Eusebi Güell,-2147483648,Pedralbes,Les Corts,8034,41.39044758234289,2.114406406404082,1
548,Centre de Convencions Internacional de Barcelona,Plaça de Willy Brandt,11,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.40895159816792,2.218837323987452,1
549,Torre Glòries,Av Diagonal,209,el Parc i la Llacuna del Poblenou,Sant Martí,8018,41.40347629324701,2.189815009628469,1
550,Museu Picasso,Carrer de Montcada,15,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38518764927223,2.180853795205005,2
551,Edifici Talaia Barcelona,Av Sarrià,71,les Corts,Les Corts,8029,41.39084065982191,2.1394911073808047,1
552,Centre Cívic  Vil·la Urània,Carrer de Saragossa,29,el Putxet i el Farró,Sarrià-Sant Gervasi,8006,41.40144911965886,2.149816841793133,2
553,Tinta Invisible Edicions,C Lleó,6,el Raval,Ciutat Vella,8001,41.3820675489832,2.165078437655472,2
554,World Trade Center,Moll Barcelona,1,el Raval,Ciutat Vella,8039,41.37109064113994,2.182363675795396,1
555,Centre Comercial Diagonal Mar,Av Diagonal,3,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.41045744398306,2.216422759940968,1
556,Centre Excursionista Els Blaus,Cornet i Mas,15,Sarrià,Sarrià-Sant Gervasi,8017,41.39817327414662,2.123617721295924,1
557,Jardins de Massana,Felip II,216,el Congrés i els Indians,Sant Andreu,8027,41.42704189433845,2.1785261828350926,1
558,Associació Sants Establiments Units,C Alcolea,16,Sants,Sants-Montjuïc,8014,41.376070955580914,2.136838762891396,1
559,Casernes d'Artilleria  de Sant Andreu,Pg Torras i Bages,141,Sant Andreu,Sant Andreu,8030,41.44395793480302,2.19050806677001,1
560,L'Estació dels FGC de Sarrià,C Cardenal Sentmenat,43,Sarrià,Sarrià-Sant Gervasi,8017,41.39829106263617,2.1250093275396296,1
561,Escola Mossèn Jacint Verdaguer,C Lleida,32,el Poble-sec,Sants-Montjuïc,8004,41.37332070884572,2.1548243508911464,2
562,Masia Ca l'Armera,C Cardenal Tedeschini,32,el Congrés i els Indians,Sant Andreu,8027,41.42562795245565,2.183215458926026,1
563,Casa Vilaró,Av Coll del Portell,43,la Salut,Gràcia,8024,41.41136623661587,2.151433629959552,1
564,Jardins del Rector Oliveras,Passatge del Rector Oliveras,2,la Dreta de l'Eixample,Eixample,8009,41.39479752399747,2.1678356444626248,2
565,Centre Cívic El Coll - La Bruguera,Carrer de l'Aldea,15,el Coll,Gràcia,8023,41.41860650477411,2.149915320833742,1
566,El Gòtic,C Paradís,1,el Barri Gòtic,Ciutat Vella,8002,41.38306559448666,2.177021839158883,3
567,El Poblenou,C Pallars,221,el Poblenou,Sant Martí,8005,41.4022744450405,2.1990636882594146,1
568,Sant Andreu,Pl Comerç,3,Sant Andreu,Sant Andreu,8030,41.43526902100959,2.190044472473194,1
569,El nucli antic d'Horta,C Fulton,15,Horta,Horta-Guinardó,8032,41.42999427513082,2.161502292023968,1
570,La plaça de Lesseps,Pl Lesseps,18,la Vila de Gràcia,Gràcia,8023,41.40771234565708,2.1510867322061435,1
571,El Portal de l'Àngel,Av Portal de l'Àngel,21,el Barri Gòtic,Ciutat Vella,8002,41.38587859872714,2.172844151594492,3
572,Casa Vidal,C Pons i Gallarza,1,Sant Andreu,Sant Andreu,8030,41.43535513459526,2.1894400450855307,1
573,Can Mazantini,C Coroleu,73,Sant Andreu,Sant Andreu,8030,41.43314257686843,2.1846500856072804,1
574,Parc de Can Rigal,Av Albert Bastardas,23,la Maternitat i Sant Ramon,Les Corts,8028,41.37932819241353,2.107739056786728,1
575,Reial Club de Polo de Barcelona,Av Doctor Marañón,17,la Maternitat i Sant Ramon,Les Corts,8028,41.38128476293865,2.1144500349192548,1
576,Pastisseria Escribà *La Rambla,C la Rambla,83,el Raval,Ciutat Vella,8002,41.381562357710784,2.1727040810941585,5
577,Jardinets de Salvador Espriu,Pg Gràcia,118,la Vila de Gràcia,Gràcia,8008,41.39738205805117,2.159002039604903,3
578,Parc de Recerca Biomèdica de Barcelona,C Doctor Aiguader,88,la Barceloneta,Ciutat Vella,8003,41.38557632373501,2.194017030461737,1
579,Moll de la Fusta,Moll de Bosch i Alsina,1,el Barri Gòtic,Ciutat Vella,8039,41.37903656788792,2.1818329605717524,1
580,Jardins de Can Sentmenat,C Can Caralleu,6,Sarrià,Sarrià-Sant Gervasi,8017,41.40262028359711,2.1151022927218386,1
581,Fira Barcelona,Avinguda de la Reina Maria Cristina,2,el Poble-sec,Sants-Montjuïc,8004,41.37271799430611,2.150211222762335,1
582,Escullera del Port de Barcelona,Pg Escullera,1,la Marina del Prat Vermell,Sants-Montjuïc,8039,41.3576877479369,2.179383881515306,1
583,L'Aquàrium de Barcelona - Aspro Parks,Moll Espanya,5,el Barri Gòtic,Ciutat Vella,8039,41.376805369060136,2.1843840154597025,1
584,Escola Massana Centre Municipal d'Art i Disseny,Plaça de la Gardunya,9,el Raval,Ciutat Vella,8001,41.38095398365772,2.1708053338176225,3
585,Espai Contrabandos,C Junta de Comerç,18,el Raval,Ciutat Vella,8001,41.37967804801887,2.1715573555694325,4
586,Universitat Oberta de Catalunya,Av Tibidabo,39,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8035,41.41503478757256,2.1330244628789514,1
587,Elisava Escola Universitaria de Disseny i Enginyeria de Barcelona,C la Rambla,30,el Barri Gòtic,Ciutat Vella,8002,41.37848959636991,2.176064541270459,4
588,Escola Lluís Vives,C Canalejas,107,Sants - Badal,Sants-Montjuïc,8028,41.37186290045592,2.1280851779733574,1
589,Centre Estudis Ignasi Iglesias,Carrer d'Ignasi Iglésias,33,Sant Andreu,Sant Andreu,8030,41.43356963877177,2.188130239920921,1
590,Ateneu  Sant Andreu,Carrer de l'Abat Odó,71,Sant Andreu,Sant Andreu,8030,41.432489863907904,2.185303031458836,1
591,Casal de Barri Can Portabella,C Virgili,18,Sant Andreu,Sant Andreu,8030,41.4291308751184,2.193936700525465,1
592,Museu Nacional d'Art de Catalunya,C Mirador Palau Nacional,6,el Poble-sec,Sants-Montjuïc,8004,41.368885103834,2.1533812278994167,1
593,Associació d'Empresaris i Professionals de la Rambla Catalunya,Rambla de Catalunya,25,la Dreta de l'Eixample,Eixample,8007,41.38896022036391,2.1660784791669774,4
594,Centre Cívic Can Verdaguer,Carrer de Piferrer,94,Porta,Nou Barris,8016,41.43410459884157,2.1792048887112854,1
595,Reials Drassanes de Barcelona,Av Drassanes,1,el Raval,Ciutat Vella,8001,41.375981756802304,2.1760573876381613,1
596,Farmàcia Jordi de Bolós,Rbla Catalunya,77,la Dreta de l'Eixample,Eixample,8007,41.39166621624898,2.162424791257872,3
597,Farmàcia Clapés Viñas,C Gran de Sant Andreu,211,Sant Andreu,Sant Andreu,8030,41.43381060796746,2.1892905825595,1
598,Parc d'Atraccions del Tibidabo,Plaça del Tibidabo,3,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8035,41.42161843553102,2.118740285636823,1
599,El Campus Raval - UB,C Montalegre,6,el Raval,Ciutat Vella,8001,41.38407718499735,2.166899934194828,2
600,Mirador Joan Sales i Vallès,Carrer de Can Móra,1,Sarrià,Sarrià-Sant Gervasi,8034,41.4164324761916,2.1527937442494287,1
601,Casa Gustà,C Ca l'Alegre de Dalt,72,el Camp d'en Grassot i Gràcia Nova,Gràcia,8024,41.41041608639633,2.160063116454555,1
602,Casa Rubinat,C Or,44,la Vila de Gràcia,Gràcia,8012,41.40487709704659,2.157716680356859,1
603,Casa Tomàs Valls,C Mare de Déu de la Salut,31,la Salut,Gràcia,8024,41.410989814046026,2.156053352602201,1
604,La Plaça de Catalunya,Pl Catalunya,2,la Dreta de l'Eixample,Eixample,8002,41.38604507506723,2.1694182154496646,3
605,Hotel Casa Fuster - HB-004219,Pg Gràcia,132,la Vila de Gràcia,Gràcia,8008,41.39801599366712,2.1580258846925444,3
606,Casa Fargas,Rbla Catalunya,47,la Dreta de l'Eixample,Eixample,8007,41.39040808759584,2.164148990973875,4
607,Cases Josefa Villanueva,C Roger de Llúria,80,la Dreta de l'Eixample,Eixample,8009,41.39489635939134,2.166752451664696,2
608,Platja de Llevant,Av Litoral,114,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,8019,41.40501510946872,2.217741476714544,1
609,Edifici La Rotonda,Av Tibidabo,2,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,8022,41.41053474585558,2.1370219362887046,1
610,Teatre Coliseum,G.V. Corts Catalanes,595,la Dreta de l'Eixample,Eixample,8007,41.38819696920228,2.166179379678894,4
611,"Àntic Edifici de Catalana de Gas i Electricitat, SA",Av Portal de l'Àngel,20,el Barri Gòtic,Ciutat Vella,8002,41.38581098730098,2.173038152640421,3
612,Edifici Modernista Riera de Sant Miquel 44,C Riera de Sant Miquel,44,la Vila de Gràcia,Gràcia,8006,41.3981582119799,2.15627378447512,2
613,Edifici de La Caixa de Barcelona,C Gran de Gràcia,18,la Vila de Gràcia,Gràcia,8012,41.39846772405435,2.157280332554822,3
614,Metro Fontana,C Gran de Gràcia,170,la Vila de Gràcia,Gràcia,8012,41.402647384357394,2.152713414330724,1
615,La plaça d'en Joanic,Pl Joanic,-2147483648,la Vila de Gràcia,Gràcia,8024,41.40530525605285,2.1622519725038294,1
616,Monument a Josep Tarradellas,Avinguda de Josep Tarradellas,-2147483648,la Nova Esquerra de l'Eixample,Eixample,8029,41.386548699111046,2.143065853774402,1
617,Zona de Banys,Plaça del Fòrum,1,el Besòs i el Maresme,Sant Martí,8019,41.411066821389646,2.221714876463801,1
618,Plaça del Rei,Pl Rei,1,el Barri Gòtic,Ciutat Vella,8002,41.38399153606988,2.177312208308455,3
619,Parròquia de Sant Pere de les Puel·les,Pl Sant Pere,-2147483648,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38922892058108,2.1792430187092746,2
620,Casa Bartomeu,C Rábida,5,Pedralbes,Les Corts,8034,41.396311253391424,2.1072570259147585,1
621,Fundació Suñol,Carrer de Mejía Lequerica,14,la Maternitat i Sant Ramon,Les Corts,8028,41.38265181042152,2.1264102113379084,1
622,Parròquia de Maria Auxiliadora,Pg Sant Joan Bosco,70,les Tres Torres,Sarrià-Sant Gervasi,8017,41.394938605535096,2.127827570905958,1
623,Parròquia de Sant Medir,C Constitució,17,la Bordeta,Sants-Montjuïc,8014,41.36984160255108,2.1377566200682048,1
624,Edifici La Maternitat,C Sabino Arana,1,la Maternitat i Sant Ramon,Les Corts,8028,41.38547614322759,2.1266907591970448,1
625,Casa Batlló,Pg Gràcia,43,la Dreta de l'Eixample,Eixample,8007,41.39173522253645,2.1649640719737016,3
626,Teatro de los Sentidos,Camí Polvorí,1,la Marina de Port,Sants-Montjuïc,8038,41.36425978367883,2.143233343287464,1
627,Cristalleries Planell,C Doctor Ibáñez,38,les Corts,Les Corts,8014,41.38743624313862,2.131903917807222,1
628,Casa Queralt,C Pineda,12,el Coll,Gràcia,8023,41.41927179810715,2.147925810285238,1
629,El Túnel de la Rovira,C Dante Alighieri,81,el Carmel,Horta-Guinardó,8032,41.42755510844527,2.1575592367815526,1
630,Espai Mescladís,C Carders,35,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,8003,41.38709531983286,2.180350747384523,2
631,Fabra i Coats - Fàbrica de Creació,C Sant Adrià,20,Sant Andreu,Sant Andreu,8030,41.433793974354174,2.1908326284827284,1
632,Alberg In-Out - AJ000427,C Major del Rectoret,2,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,8017,41.42206372379852,2.101812736653692,1
633,Hotel España - HB-000073,C Sant Pau,9,el Raval,Ciutat Vella,8001,41.37998177436281,2.1728476146789286,5
