Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2023,1,Ciutat Vella,1,el Raval,3,Habitatge,Superfície_m2,79016
2023,1,Ciutat Vella,1,el Raval,3,Magatzem,Superfície_m2,5560
2023,1,Ciutat Vella,1,el Raval,3,Altres,Superfície_m2,177
2023,1,Ciutat Vella,1,el Raval,3,Oficines,Superfície_m2,5340
2023,1,Ciutat Vella,1,el Raval,3,Turisme i hostaleria,Superfície_m2,12296
2023,1,Ciutat Vella,1,el Raval,3,Espectacles,Superfície_m2,257
2023,1,Ciutat Vella,1,el Raval,3,Sanitat,Nombre,10
2023,1,Ciutat Vella,1,el Raval,3,Esportiu,Nombre,1
2023,1,Ciutat Vella,1,el Raval,3,Comerç,Nombre,129
2023,1,Ciutat Vella,1,el Raval,3,Ensenyament i cultura,Nombre,3
2023,1,Ciutat Vella,1,el Raval,3,Aparcaments,Nombre,222
2023,1,Ciutat Vella,1,el Raval,3,Habitatge,Nombre,1337
2023,1,Ciutat Vella,1,el Raval,3,Magatzem,Nombre,58
2023,1,Ciutat Vella,1,el Raval,3,Altres,Nombre,2
2023,1,Ciutat Vella,1,el Raval,3,Oficines,Nombre,17
2023,1,Ciutat Vella,1,el Raval,3,Turisme i hostaleria,Nombre,38
2023,1,Ciutat Vella,1,el Raval,3,Espectacles,Nombre,1
2023,1,Ciutat Vella,1,el Raval,3,Sanitat,Valor_€,7751059.75
2023,1,Ciutat Vella,1,el Raval,3,Esportiu,Valor_€,22674.44
2023,1,Ciutat Vella,1,el Raval,3,Comerç,Valor_€,10158339.71
2023,1,Ciutat Vella,1,el Raval,3,Ensenyament i cultura,Valor_€,125338.23
2023,1,Ciutat Vella,1,el Raval,3,Aparcaments,Valor_€,7395302.36
2023,1,Ciutat Vella,1,el Raval,3,Habitatge,Valor_€,72262678.97
2023,1,Ciutat Vella,1,el Raval,3,Magatzem,Valor_€,2885028.32
2023,1,Ciutat Vella,1,el Raval,3,Altres,Valor_€,219508.03
2023,1,Ciutat Vella,1,el Raval,3,Oficines,Valor_€,5319242.98
2023,1,Ciutat Vella,1,el Raval,3,Turisme i hostaleria,Valor_€,14747063.99
2023,1,Ciutat Vella,1,el Raval,3,Espectacles,Valor_€,226466.11
2023,1,Ciutat Vella,1,el Raval,4,Aparcaments,Superfície_m2,16201
2023,1,Ciutat Vella,1,el Raval,4,Oficines,Superfície_m2,5790
2023,1,Ciutat Vella,1,el Raval,4,Esportiu,Superfície_m2,5160
2023,1,Ciutat Vella,1,el Raval,4,Comerç,Superfície_m2,13937
2023,1,Ciutat Vella,1,el Raval,4,Espectacles,Superfície_m2,4372
2023,1,Ciutat Vella,1,el Raval,4,Administració Pública,Superfície_m2,5938
2023,1,Ciutat Vella,1,el Raval,4,Turisme i hostaleria,Superfície_m2,18037
2023,1,Ciutat Vella,1,el Raval,4,Habitatge,Superfície_m2,97910
2023,1,Ciutat Vella,1,el Raval,4,Magatzem,Superfície_m2,7689
2023,1,Ciutat Vella,1,el Raval,4,Ensenyament i cultura,Superfície_m2,20581
2023,1,Ciutat Vella,1,el Raval,4,Religiós,Superfície_m2,2216
2023,1,Ciutat Vella,1,el Raval,4,Aparcaments,Nombre,550
2023,1,Ciutat Vella,1,el Raval,4,Oficines,Nombre,29
2023,1,Ciutat Vella,1,el Raval,4,Esportiu,Nombre,9
2023,1,Ciutat Vella,1,el Raval,4,Comerç,Nombre,103
2023,1,Ciutat Vella,1,el Raval,4,Espectacles,Nombre,14
2023,1,Ciutat Vella,1,el Raval,4,Administració Pública,Nombre,8
2023,1,Ciutat Vella,1,el Raval,4,Turisme i hostaleria,Nombre,63
2023,1,Ciutat Vella,1,el Raval,4,Habitatge,Nombre,1507
2023,1,Ciutat Vella,1,el Raval,4,Magatzem,Nombre,89
2023,1,Ciutat Vella,1,el Raval,4,Ensenyament i cultura,Nombre,17
2023,1,Ciutat Vella,1,el Raval,4,Religiós,Nombre,3
